Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,262.000000,265.450012,252.899994,255.500000,255.500000,14364433
2023-07-27,256.399994,257.700012,250.100006,253.000000,253.000000,3251677
2023-07-28,254.000000,260.500000,251.250000,258.549988,258.549988,6180690
2023-07-31,260.000000,275.500000,259.500000,273.299988,273.299988,15925979
2023-08-01,275.850006,279.899994,270.350006,273.200012,273.200012,7924194
2023-08-02,273.399994,276.450012,260.600006,267.700012,267.700012,6899383
2023-08-03,268.549988,280.450012,264.100006,274.850006,274.850006,17323631
2023-08-04,284.000000,284.500000,275.200012,278.500000,278.500000,10293961
2023-08-07,279.899994,280.850006,272.100006,273.299988,273.299988,5331796
2023-08-08,273.000000,282.000000,264.750000,280.250000,280.250000,11629958
2023-08-09,280.700012,284.000000,276.100006,277.149994,277.149994,7433237
2023-08-10,278.100006,291.000000,276.450012,281.899994,281.899994,13815594
2023-08-11,283.750000,289.399994,280.750000,288.100006,288.100006,10008733
2023-08-14,283.299988,288.950012,276.049988,286.100006,286.100006,10660571
2023-08-16,286.000000,291.700012,274.399994,279.899994,279.899994,33737517
2023-08-17,284.600006,288.500000,282.000000,286.549988,286.549988,18159548
2023-08-18,286.950012,321.649994,286.250000,304.600006,304.600006,58120641
2023-08-21,306.700012,328.000000,305.549988,324.850006,324.850006,35884689
2023-08-22,333.500000,349.899994,331.000000,347.399994,347.399994,36573300
2023-08-23,353.000000,359.250000,312.299988,322.850006,322.850006,49358727
2023-08-24,330.000000,339.850006,322.850006,328.799988,328.799988,23268024
2023-08-25,329.899994,334.700012,319.000000,325.049988,325.049988,16028515
2023-08-28,332.000000,336.000000,317.200012,321.799988,321.799988,14579011
2023-08-29,322.850006,338.850006,315.899994,332.700012,332.700012,25217118
2023-08-30,334.350006,336.299988,326.350006,328.399994,328.399994,9128939
2023-08-31,314.000000,324.299988,309.000000,321.299988,321.299988,21870905
2023-09-01,315.000000,335.950012,312.250000,330.250000,330.250000,24863644
2023-09-04,332.000000,345.200012,332.000000,341.750000,341.750000,15935199
2023-09-05,347.149994,352.000000,336.000000,342.450012,342.450012,16443461
2023-09-06,343.600006,350.500000,339.149994,347.549988,347.549988,9482430
2023-09-07,349.350006,362.200012,345.100006,358.799988,358.799988,24935097
2023-09-08,360.000000,372.399994,357.000000,369.149994,369.149994,26073229
2023-09-11,373.000000,403.200012,372.950012,398.399994,398.399994,44839639
2023-09-12,406.000000,409.700012,373.399994,386.299988,386.299988,33894520
2023-09-13,385.750000,392.000000,366.799988,377.100006,377.100006,14536761
2023-09-14,380.000000,383.799988,375.100006,377.149994,377.149994,6898172
2023-09-15,378.500000,384.000000,377.200012,379.399994,379.399994,18213490
2023-09-18,381.000000,382.850006,372.450012,375.000000,375.000000,20351913
2023-09-20,371.149994,373.799988,366.049988,368.399994,368.399994,17656850
2023-09-21,367.000000,385.000000,364.399994,382.450012,382.450012,24721306
2023-09-22,385.299988,389.250000,380.000000,383.899994,383.899994,12000168
2023-09-25,383.899994,385.549988,378.200012,381.149994,381.149994,17125016
2023-09-26,380.049988,382.799988,375.100006,377.500000,377.500000,17002538
2023-09-27,379.000000,379.000000,373.250000,375.350006,375.350006,16473986
2023-09-28,376.799988,379.850006,372.450012,375.399994,375.399994,19409168
2023-09-29,375.399994,379.000000,373.100006,377.450012,377.450012,17989437
2023-10-03,376.899994,376.899994,363.200012,366.700012,366.700012,3312991
2023-10-04,367.299988,377.500000,363.200012,372.049988,372.049988,7760046
2023-10-05,373.399994,376.000000,364.100006,365.850006,365.850006,2382554
2023-10-06,366.399994,371.000000,363.000000,364.299988,364.299988,2349309
2023-10-09,352.299988,355.000000,339.000000,342.000000,342.000000,7353001
2023-10-10,343.399994,352.799988,343.299988,349.649994,349.649994,3720710
2023-10-11,353.000000,358.700012,348.149994,349.799988,349.799988,3488974
2023-10-12,352.000000,353.850006,346.100006,347.250000,347.250000,2062648
2023-10-13,345.000000,345.000000,341.250000,341.899994,341.899994,2285167
2023-10-16,341.100006,343.649994,327.000000,329.649994,329.649994,5569553
2023-10-17,331.950012,344.399994,331.899994,335.500000,335.500000,4646955
2023-10-18,337.000000,339.700012,332.000000,333.950012,333.950012,2269766
2023-10-19,333.899994,346.700012,331.000000,344.450012,344.450012,5032636
2023-10-20,343.000000,346.299988,335.000000,338.299988,338.299988,3464389
2023-10-23,340.600006,342.100006,314.149994,316.450012,316.450012,6075498
2023-10-25,326.950012,329.799988,310.250000,312.700012,312.700012,5402798
2023-10-26,310.000000,336.299988,289.350006,327.350006,327.350006,12759045
2023-10-27,332.000000,364.850006,331.549988,354.149994,354.149994,14877588
2023-10-30,354.399994,359.700012,345.049988,357.950012,357.950012,9014732
2023-10-31,361.000000,367.899994,359.350006,363.049988,363.049988,7080271
2023-11-01,364.500000,372.700012,357.600006,365.200012,365.200012,5572625
2023-11-02,368.000000,393.399994,365.549988,372.950012,372.950012,21100773
2023-11-03,376.799988,393.000000,376.250000,384.649994,384.649994,12233091
2023-11-06,388.950012,397.600006,381.549988,394.000000,394.000000,17431088
2023-11-07,393.899994,402.600006,380.000000,383.799988,383.799988,18526329
2023-11-08,384.000000,395.000000,381.200012,393.399994,393.399994,20042521
2023-11-09,395.100006,409.649994,390.549988,401.100006,401.100006,28389177
2023-11-10,399.950012,406.799988,395.299988,399.399994,399.399994,16574959
2023-11-13,397.950012,399.799988,388.100006,390.600006,390.600006,11454280
2023-11-15,397.950012,398.000000,388.049988,391.000000,391.000000,12279448
2023-11-16,390.200012,395.200012,386.299988,389.549988,389.549988,13220902
2023-11-17,389.500000,391.950012,385.799988,387.299988,387.299988,12790695
2023-11-20,387.299988,393.399994,384.000000,389.950012,389.950012,13657211
2023-11-21,390.450012,396.649994,390.200012,392.500000,392.500000,14188472
2023-11-22,392.500000,395.500000,385.149994,387.200012,387.200012,10626256
2023-11-23,388.299988,390.500000,380.049988,381.700012,381.700012,2759240
2023-11-24,382.700012,400.799988,380.299988,397.200012,397.200012,9134805
2023-11-28,407.000000,464.399994,407.000000,446.200012,446.200012,67482614
2023-11-29,456.700012,470.799988,426.799988,433.100006,433.100006,44215572
2023-11-30,433.000000,436.600006,417.100006,431.500000,431.500000,11540019
2023-12-01,437.000000,454.799988,435.350006,440.399994,440.399994,13761200
2023-12-04,494.000000,494.000000,458.500000,464.700012,464.700012,15084875
2023-12-05,463.000000,545.799988,456.000000,538.150024,538.150024,59296372
2023-12-06,545.000000,589.450012,539.000000,560.450012,560.450012,46431996
2023-12-07,567.950012,574.700012,552.349976,562.400024,562.400024,16013868
2023-12-08,566.000000,570.000000,517.500000,533.799988,533.799988,16500676
2023-12-11,535.000000,539.700012,515.099976,526.150024,526.150024,9890200
